Year,Company name, Number of single use plastic bags issued , Gross proceeds of charge (£) 
2018-19,A F Blakemore & Son Ltd,"5,114,183","255,709.15"
2018-19,Age UK Trading CIC,"563,644","28,182.20"
2018-19,Aldi Stores Ltd,"38,138,993","1,906,949.65"
2018-19,"Animal, a division of H Young (Operations) Limited","31,390","1,569.50"
2018-19,Archant Community Media Limited,"170,083","8,504.15"
2018-19,Argos,"1,569,663","78,483.15"
2018-19,Asda Stores Limited,"106,896,430","5,344,821.50"
2018-19,"Ashmolean Museum, University of Oxford","2,459",122.95
2018-19,B&Q,"791,927","39,596.35"
2018-19,Barton Grange Group Ltd,"76,224","3,811.20"
2018-19,Bath & North East Somerset Council,"8,138",406.90
2018-19,Beauty Outlet Ltd,"115,161","5,758.05"
2018-19,Bents Garden Centre Limited,"35,406","1,770.30"
2018-19,Biddles of Guildford,633,31.65
2018-19,Birds (Derby) Ltd,"565,050","28,255.10"
2018-19,Blackburn Rovers Football & Athletic Ltd,"13,138",656.90
2018-19,Blackpool Pleasure Beach Ltd,"29,306","1,465.30"
2018-19,Blackwell UK Limited,"191,557","9,577.85"
2018-19,BMB Clothing Limited,"88,660","4,433.00"
2018-19,Bonmarche Limited,"1,835,992","91,799.60"
2018-19,Boux Avenue Limited,"91,923","4,596.15"
2018-19,Bradfords Building Supplies Ltd,"1,174",65.33
2018-19,Brighton & Hove Albion FC,"5,979",298.95
2018-19,Britannia Jinky Jersey Ltd,"61,626","3,081.30"
2018-19,Bryanston Conference Centre Limited,414,20.70
2018-19,C and J Clarks International Limited,"3,007,814","150,390.70"
2018-19,C Brewer & Sons Ltd,"12,592",629.60
2018-19,Cancer Research UK,"1,109,174","55,458.70"
2018-19,Cardzone Ltd,"420,721","21,036.05"
2018-19,Cats Protection,"119,492","5,974.00"
2018-19,Cavaghan & Gray Ltd,"10,613",530.65
2018-19,CDS Superstores International LTD T/A The range,"4,363,218","218,160.90"
2018-19,Center Parcs,"25,069","1,253.45"
2018-19,Central England Co-Operative Society,"9,283,809","464,190.45"
2018-19,CHESTER ZOO ENTERPRISES LTD,"4,759",237.95
2018-19,Choice Discount Stores Limited,"566,400","28,320.00"
2018-19,Choice Support,117,5.85
2018-19,CLL,959,47.95
2018-19,Company Shop Ltd,"801,045","40,624.80"
2018-19,Compass Group UK and Ireland Limited,"109,471","5,473.55"
2018-19,Cook Trading Ltd,"592,390","29,619.50"
2018-19,Coopland and Son (Scarborough) Ltd,"1,207,317","60,365.85"
2018-19,D J Squire & Co Ltd,"83,679","4,183.95"
2018-19,Debenhams Retail Ltd,"515,265","25,763.25"
2018-19,Decathlon,"739,218","36,960.90"
2018-19,Deichmann Shoes UK Ltd,"1,916,609","95,830.45"
2018-19,Diageo,"2,951",147.55
2018-19,"Dickinson & Morris, part of the Samworth Brothers Group","19,960","1,010.88"
2018-19,Dunelm (Soft Furnishings) Ltd,"1,659,536","91,031.35"
2018-19,Durham county council,415,20.75
2018-19,E H Booth & Co Limited,"1,609,061","80,453.05"
2018-19,Ebor Foodmarkets Limited,"529,045","26,452.25"
2018-19,Edmundson Electrical Ltd,"4,171",208.55
2018-19,Elim Foursqaure Gospel Alliance,768,38.40
2018-19,Elior UK,"34,582","1,729.10"
2018-19,Ellis Brigham Ltd,"27,826","1,382.94"
2018-19,Entertainment Magpie Ltd,"8,822",441.10
2018-19,Estee Lauder Cosmetics Limited,"57,108","2,855.40"
2018-19,Eyre & Elliston Ltd,58,2.90
2018-19,F Hinds Ltd,"54,233","2,711.65"
2018-19,Farmfoods Limited,"8,779,737","438,986.85"
2018-19,Fenwick Limited,154,7.70
2018-19,FORBIDDEN PLANET (SCOTLAND) LTD,"197,445","9,872.25"
2018-19,Frozen Value Ltd,"1,573,694","78,684.70"
2018-19,Grafton Merchanting GB Ltd,"7,028",351.40
2018-19,Greenhalgh's Craft Bakery Ltd,"191,069","9,553.45"
2018-19,Greggs plc,"13,865,756","693,287.80"
2018-19,H&M Hennes & Mauritz UK and Ireland Ltd,"12,336,242","616,812.10"
2018-19,H.I. Weldrick Ltd.,"13,904",695.00
2018-19,Halfords Limited,"230,077","11,503.85"
2018-19,Hamleys of London Limited,"678,946","33,947.30"
2018-19,Haskins Garden Centres LTD,"44,549","2,227.45"
2018-19,Haven Holidays,"847,248","42,362.40"
2018-19,Heart of England Co-operative Society LImited,"1,294,180","64,709.00"
2018-19,Heathcoat Fabrics Limited,480,24.00
2018-19,Helston Garages Ltd,"4,608",230.40
2018-19,Hidden Hearing Ltd,"5,277",263.85
2018-19,Hillier Nurseries Ltd,"13,644",682.20
2018-19,Hobbycraft Trading Ltd,"1,692,051","84,602.55"
2018-19,Homebase (HHGL Ltd),"441,391","22,069.55"
2018-19,Hotel Chocolat Retail Ltd,"14,916",745.80
2018-19,House of Lords Catering and Retail Services,"6,797",339.85
2018-19,Hughes TV and Audio Limited,"4,437",221.85
2018-19,Iceland Foods Ltd,"61,001,111","3,050,055.55"
2018-19,Imperial War Museum,"39,952","1,997.60"
2018-19,J Barbour & Sons Ltd,"26,326","1,316.30"
2018-19,J.P.MCDOUGALL & CO.LIMITED Trading as Dulux Decorator Centres,"39,872","3,987.20"
2018-19,Jacobs & Turner Ltd,"410,181","20,509.05"
2018-19,Jarrold & Sons Limited,"47,108","2,355.40"
