country,score_2020,rank_2020,score_2021,rank_2021,rank_change,zone
Afghanistan,37.70,122,40.19,122,0,Asia Pacific
Albania,30.25,84,30.59,83,1,EU & Balkans
Algeria,45.52,146,47.26,146,0,MENA
Andorra,23.23,37,23.32,39,-2,EU & Balkans
Angola,33.92,106,34.06,103,3,Africa
Argentina,28.78,64,28.99,69,-5,Americas
Armenia,28.60,61,28.83,63,-2,EECA
Australia,20.21,26,19.79,25,1,Asia Pacific
Austria,15.78,18,16.34,17,1,EU & Balkans
Azerbaijan,58.48,168,58.77,167,1,EECA
Bahrain,60.13,169,61.10,168,1,MENA
Bangladesh,49.37,151,49.71,152,-1,Asia Pacific
Belarus,49.75,153,50.82,158,-5,EECA
Belgium,12.57,12,11.69,11,1,EU & Balkans
Belize,27.50,53,27.61,53,0,Americas
Benin,35.11,113,38.18,114,-1,Africa
Bhutan,28.90,67,28.86,65,2,Asia Pacific
Bolivia,35.37,114,35.47,110,4,Americas
Bosnia and Herzegovina,28.51,58,28.34,58,0,EU & Balkans
Botswana,23.56,39,23.25,38,1,Africa
Brazil,34.05,107,36.25,111,-4,Americas
Brunei Darussalam,49.65,152,49.91,154,-2,Asia Pacific
Bulgaria,35.06,111,37.29,112,-1,EU & Balkans
Burkina Faso,23.47,38,23.17,37,1,Africa
Burundi,55.33,160,47.57,147,13,Africa
Cambodia,45.46,144,46.84,144,0,Asia Pacific
Cameroon,43.28,134,43.78,135,-1,Africa
Canada,15.29,16,15.25,14,2,Americas
Cape Verde,20.15,25,20.09,27,-2,Africa
Central African Republic,42.87,132,41.92,126,6,Africa
Chad,39.70,123,40.20,123,0,Africa
Chile,27.31,51,27.89,54,-3,Americas
China,78.48,177,78.72,177,0,Asia Pacific
Colombia,42.66,130,43.74,134,-4,Americas
Comoros,29.77,75,30.65,84,-9,Africa
Congo,36.56,118,38.83,118,0,Africa
Costa Rica,10.53,7,8.76,5,2,Americas
Croatia,28.51,59,27.95,56,3,EU & Balkans
Cuba,63.81,171,63.94,171,0,Americas
Cyprus,20.45,27,19.85,26,1,EU & Balkans
Cyprus North,29.79,77,29.82,76,1,EU & Balkans
Czech Republic,23.57,40,23.38,40,0,EU & Balkans
Democratic People's Republic of Korea,85.82,180,81.28,179,1,Asia Pacific
Denmark,8.13,3,8.57,4,-1,EU & Balkans
Djibouti,76.73,176,78.62,176,0,Africa
Dominican Republic,27.90,55,25.60,50,5,Americas
East Timor,29.90,78,29.11,71,7,Asia Pacific
Ecuador,32.62,98,32.83,96,2,Americas
Egypt,56.82,166,56.17,166,0,MENA
El Salvador,29.70,74,30.49,82,-8,Americas
Equatorial Guinea,56.38,165,55.67,164,1,Africa
Eritrea,83.50,178,81.45,180,-2,Africa
Estonia,12.61,14,15.25,15,-1,EU & Balkans
Ethiopia,32.82,99,33.63,101,-2,Africa
Fiji,27.41,52,27.92,55,-3,Asia Pacific
Finland,7.93,2,6.99,2,0,EU & Balkans
France,22.92,34,22.60,34,0,EU & Balkans
Gabon,37.20,121,38.60,117,4,Africa
Gambia,30.62,87,30.76,85,2,Africa
Georgia,28.59,60,28.64,60,0,EECA
Germany,12.16,11,15.24,13,-2,EU & Balkans
Ghana,22.26,30,21.33,30,0,Africa
Greece,28.80,65,29.01,70,-5,EU & Balkans
Guatemala,35.74,116,38.45,116,0,Americas
Guinea,34.34,110,35.42,109,1,Africa
Guinea-Bissau,32.06,94,32.68,95,-1,Africa
Guyana,26.63,49,25.61,51,-2,Americas
Haiti,30.20,83,31.12,87,-4,Americas
Honduras,48.20,148,49.35,151,-3,Americas
Hong Kong,30.01,80,30.44,80,0,Asia Pacific
Hungary,30.84,89,31.76,92,-3,EU & Balkans
Iceland,15.12,15,15.37,16,-1,EU & Balkans
India,45.33,142,46.56,142,0,Asia Pacific
Indonesia,36.82,119,37.40,113,6,Asia Pacific
