year,month,temp_max_c,temp_min_c,rain_mm
2018,7,25.4,13.9,23.2
2019,7,22.7,14.1,126.0
2019,8,22.0,13.7,64.8
2018,8,21.8,13.3,27.4
2018,6,21.5,11.7,23.2
2020,8,21.2,13.5,115.2
2020,7,19.7,12.3,79.4
2020,6,19.4,11.0,91.0
2018,5,19.4,8.7,36.8
2019,6,18.6,10.5,130.2
2020,9,18.5,10.3,25.4
2020,5,18.4,7.7,5.4
2019,9,18.1,10.5,139.2
2018,9,18.0,10.2,88.6
2019,5,16.1,7.8,43.8
2020,4,15.6,5.7,12.4
2018,10,14.3,7.5,49.0
2019,4,14.1,4.4,16.2
2018,4,13.2,6.0,97.0
2020,10,13.0,7.5,96.2
2019,10,12.6,6.7,135.6
2019,3,11.5,4.7,118.2
2019,2,11.2,3.2,32.2
2020,11,11.0,5.7,38.6
2020,3,10.6,2.8,43.6
2018,11,10.3,5.7,73.6
2020,1,9.2,4.2,53.8
2020,2,8.9,3.0,224.6
2018,12,8.8,4.4,100.8
2019,12,8.2,3.5,73.0
2019,11,7.9,3.9,200.0
2018,3,7.5,1.7,113.2
2018,1,7.2,3.0,124.2
2020,12,7.0,2.9,126.6
2019,1,6.6,2.8,27.4
2018,2,5.3,0.6,41.2
